timestamp,monotonic_time_s,experiment_id,mission_id,state,event,current_objective,remaining_objectives,mission_queue_size,distance_remaining_m,note
2026-08-11T14:55:26.295,1924.846659,exp2,,IDLE,STATE_TRANSITION,,[],0,,IDLE -> IDLE. Mission Manager initialized
2026-08-11T14:55:44.238,1942.790121,exp2,,IDLE,MISSION_ENQUEUED,,[],1,,mission_001: ['point1']
2026-08-11T14:55:44.240,1942.791334,exp2,mission_001,IDLE,MISSION_STARTED,,"[""point1""]",0,,Queue wait: 0.001735 s
2026-08-11T14:55:44.244,1942.795838,exp2,mission_001,MISSION_RECEIVED,STATE_TRANSITION,,"[""point1""]",0,,IDLE -> MISSION_RECEIVED. mission_001 started
2026-08-11T14:55:44.245,1942.797055,exp2,mission_001,MISSION_RECEIVED,OBJECTIVE_SELECTED,point1,[],0,,Transition latency: 0.000000 s
2026-08-11T14:55:44.247,1942.798642,exp2,mission_001,MISSION_RECEIVED,GOAL_SENT,point1,[],0,,Goal sent to point1
2026-08-11T14:55:44.255,1942.807114,exp2,mission_001,MISSION_RECEIVED,GOAL_ACCEPTED,point1,[],0,,
2026-08-11T14:55:44.265,1942.816364,exp2,mission_001,NAVIGATING,STATE_TRANSITION,point1,[],0,,MISSION_RECEIVED -> NAVIGATING. Navigating to point1
2026-08-11T14:56:16.197,1974.748267,exp2,mission_001,NAVIGATING,OBJECTIVE_SUCCEEDED,point1,[],0,0.246,Execution time: 31.951901 s
2026-08-11T14:56:16.198,1974.749505,exp2,mission_001,MISSION_COMPLETED,STATE_TRANSITION,,[],0,,NAVIGATING -> MISSION_COMPLETED. mission_001 completed
2026-08-11T14:56:16.200,1974.751331,exp2,,IDLE,STATE_TRANSITION,,[],0,,MISSION_COMPLETED -> IDLE. mission_001 finished
2026-08-11T14:56:23.114,1981.665398,exp2,,IDLE,MISSION_ENQUEUED,,[],1,,"mission_002: ['point2', 'point3']"
2026-08-11T14:56:23.115,1981.666608,exp2,mission_002,IDLE,MISSION_STARTED,,"[""point2"", ""point3""]",0,,Queue wait: 0.001615 s
